Time (s),Evaporator Position 1 (°C),Evaporator Position 2 (°C),Evaporator Position 3 (°C),Condenser Position 1 (°C),Condenser Position 2 (°C),Condenser Position 3 (°C),Condenser Position 4 (°C)
108.5,63.69298,62.25707,61.39107,59.44374,59.23929,59.24933,58.11137
109,63.83053,62.39836,61.52161,59.57035,59.40224,59.40261,58.20125
109.5,63.96306,62.54749,61.65747,59.73343,59.56074,59.56777,58.29865
110,64.10998,62.68415,61.80451,59.84831,59.69723,59.69736,58.42786
110.5,64.22418,62.83858,61.93465,60.00685,59.8459,59.88164,58.61569
111,64.36731,62.96157,62.10453,60.18069,59.98987,60.00469,58.76135
111.5,64.52196,63.1023,62.24301,60.33576,60.15599,60.18366,58.89374
112,64.65603,63.2564,62.38797,60.44379,60.30355,60.32502,59.01494
112.5,64.78957,63.39735,62.53654,60.59162,60.4337,60.45423,59.14561
113,64.9159,63.55288,62.65401,60.73309,60.56852,60.53045,59.27153
113.5,65.04972,63.67368,62.8079,60.88905,60.70726,60.69676,59.44368
114,65.20308,63.82022,62.93934,61.04317,60.83772,60.77712,59.61949
114.5,65.32895,63.93053,63.08802,61.16036,60.9563,60.966,59.77605
115,65.467,64.10283,63.22181,61.30729,61.07015,61.1212,59.94076
115.5,65.587,64.21784,63.34764,61.3633,61.22841,61.22867,60.08345
116,65.72931,64.36227,63.49899,61.53077,61.35959,61.41245,60.22365
116.5,65.84993,64.47903,63.60822,61.70708,61.50582,61.4491,60.32283
117,65.93244,64.62605,63.75827,61.80946,61.64772,61.54897,60.39769
117.5,66.09236,64.70389,63.86045,61.95103,61.7746,61.67676,60.47016
118,66.20099,64.86602,63.99233,62.09329,61.87346,61.70373,60.61411
118.5,66.31341,64.98881,64.12067,62.20153,62.01249,61.8756,60.69851
119,66.479,65.11247,64.26731,62.3198,62.18152,62.08368,60.84488
119.5,66.60023,65.23352,64.39091,62.33862,62.30989,62.29058,60.97078
120,66.69283,65.32776,64.51478,62.53535,62.43336,62.43402,61.12647
120.5,66.83863,65.48302,64.64071,62.70677,62.55519,62.58708,61.24858
121,66.93619,65.6125,64.74979,62.86236,62.68967,62.69491,61.47087
121.5,67.0986,65.7479,64.89234,62.99843,62.7773,62.77243,61.60861
122,67.22504,65.86842,65.02321,63.124,62.89025,62.90536,61.75491
122.5,67.33903,65.98863,65.15286,63.2532,63.02933,63.04121,61.96823
123,67.47466,66.11995,65.27917,63.33384,63.17127,63.23021,62.1364
123.5,67.60968,66.27681,65.40371,63.47363,63.30901,63.40788,62.29095
124,67.73585,66.3826,65.52215,63.60582,63.45636,63.32016,62.44592
124.5,67.84091,66.50719,65.67521,63.7325,63.55344,63.32978,62.54899
125,67.96729,66.63269,65.77734,63.74776,63.67268,63.52431,62.67355
125.5,68.08174,66.75795,65.90676,63.89345,63.79749,63.68195,62.80001
126,68.19049,66.86192,66.0502,64.10794,63.96677,63.80555,62.84375
126.5,68.33838,67.0204,66.16216,64.20629,64.09313,63.96244,62.87694
127,68.45641,67.1286,66.2784,64.29015,64.202,64.06304,62.97024
127.5,68.53595,67.23889,66.40821,64.44014,64.31482,64.10059,63.05348
128,68.58138,67.33386,66.50367,64.57069,64.43482,64.15128,63.13541
128.5,68.61947,67.4293,66.60301,64.70243,64.55807,64.52009,63.30991
129,68.65097,67.46516,66.66182,64.83179,64.64682,64.65771,63.42854
129.5,68.65811,67.51335,66.74717,64.94086,64.75476,64.70575,63.5349
130,68.67218,67.57833,66.78992,65.05747,64.8319,64.72668,63.65959
130.5,68.70003,67.5899,66.85401,65.15443,64.92933,64.75183,63.77541
131,68.71915,67.64525,66.91281,65.23316,65.04317,64.8597,63.90489
131.5,68.76888,67.69798,66.97014,65.3115,65.09627,64.96145,64.03008
132,68.79082,67.75936,67.05928,65.36909,65.23073,64.933,64.14782
132.5,68.74669,67.77896,67.08278,65.43716,65.32542,65.10776,64.22394
133,68.67825,67.76738,67.11362,65.48933,65.37346,65.23978,64.26007
133.5,68.6053,67.76572,67.13375,65.58646,65.48046,65.41767,64.30674
134,68.49449,67.71496,67.12197,65.71227,65.5613,65.43175,64.42639
134.5,68.45871,67.66497,67.11577,65.77002,65.62388,65.40945,64.4743
135,68.45219,67.65432,67.10558,65.73537,65.61011,65.34841,64.49448
135.5,68.46709,67.66326,67.13011,65.73287,65.68423,65.47347,64.54843
136,68.51088,67.69307,67.16772,65.85127,65.70031,65.58177,64.59963
136.5,68.56978,67.75427,67.22549,65.9264,65.75182,65.70164,64.57773
137,68.63623,67.8299,67.25871,66.01078,65.81946,65.78602,64.59719
137.5,68.68773,67.85321,67.29417,65.99702,65.87727,65.661,64.66741
138,68.7577,67.91838,67.35705,66.00219,65.90652,65.66021,64.70586
138.5,68.79737,67.98809,67.41073,66.05309,65.93793,65.70033,64.78408
139,68.76452,67.99467,67.45652,66.1165,66.03735,65.83738,64.84016
139.5,68.65495,67.97451,67.44461,66.20811,66.08997,65.87991,64.92125
140,68.55219,67.93639,67.43492,66.27505,66.12251,65.98218,64.98546
140.5,68.44012,67.88506,67.39918,66.31002,66.15588,65.99421,64.99934
141,68.32149,67.80448,67.36537,66.30113,66.1823,65.99403,65.03885
141.5,68.18567,67.71795,67.31621,66.33818,66.21798,65.87946,65.03278
